Codes Fédé,Fédérations françaises agréées en 2018,Obs,0 à 4 ans,5 à 9 ans,10 à 14 ans,15 à 19 ans,20 à 24 ans,25 à 29 ans,30 à 34 ans,35 à 39 ans,40 à 44 ans,45 à 49 ans,50 à 54 ans,55 à 59 ans,60 à 64 ans,65 à 69 ans,70 à 74 ans,75 à 79 ans,80 ans et plus,Non renseigné,TOTAL
101,FF d'athlétisme,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,341,22518,34454,18798,6762,5874,6910,8557,11461,13750,11792,9067,6725,4973,2546,767,457,1,165753
,Licences féminines,,274,16460,36843,21645,4942,4483,4769,6800,9725,11626,10364,7907,5985,3994,1537,399,192,0,147945
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994,994
,Sous/Total,,615,38978,71297,40443,11704,10357,11679,15357,21186,25376,22156,16974,12710,8967,4083,1166,649,995,314692
102,FF des sociétés d'aviron,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,20,15,2954,3953,1418,986,1116,1240,1455,1955,2074,1940,1667,1195,775,337,184,1,23285
,Licences féminines,,23,8,1674,2482,810,645,758,961,1273,1952,1942,1605,978,546,240,54,20,0,15971
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,468
,Sous/Total,,43,23,4628,6435,2228,1631,1874,2201,2728,3907,4016,3545,2645,1741,1015,391,204,469,39724
103,FF de badminton,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,10,5559,21544,17232,6474,11316,12881,12217,10972,9801,6286,3372,1555,654,220,59,21,0,120173
,Licences féminines,,8,2781,12608,10302,4736,8748,7866,6600,5397,4201,2652,1278,516,203,61,23,30,0,68010
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,18,8340,34152,27534,11210,20064,20747,18817,16369,14002,8938,4650,2071,857,281,82,51,0,188183
105,FF de basketball,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,572,62241,99306,68716,18928,17113,14877,16416,15707,11538,6568,4292,2697,1823,1183,429,328,0,342734
,Licences féminines,,237,29067,60380,33599,11389,9599,7039,7445,7980,6993,3945,2203,1097,690,380,135,128,0,182306
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,809,91308,159686,102315,30317,26712,21916,23861,23687,18531,10513,6495,3794,2513,1563,564,456,0,525040
106,FF de boxe,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,0,3190,9373,9133,3469,3499,2846,2481,2085,2034,1376,1039,759,540,359,129,123,0,42435
,Licences féminines,,1,757,3801,5063,1159,1203,1237,1222,1072,804,451,276,186,83,81,31,11,1,17439
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,1,3947,13174,14196,4628,4702,4083,3703,3157,2838,1827,1315,945,623,440,160,134,1,59874
107,FF de canoë-kayak,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,31,1039,6417,4414,1488,1298,1396,1382,1623,1850,1706,1454,1178,784,393,143,59,10667,37322
,Licences féminines,,23,520,3082,1601,482,511,462,552,758,959,1001,799,564,357,122,40,12,8412,20257
