,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,468
,Sous/Total,,594,378,213,103,47,947,105,229,6,114,115,48,1448,306,2,316,356,191,110,83,41,116,255,1,284,127,434,145,26,913,318,1446,88,1052,749,652,2,307,735,137,312,91,200,11,1601,296,221,498,0,504,231,494,9,289,686,244,463,303,17,906,455,2,369,66,855,4,207,564,181,2009,13,420,100,860,1189,934,621,879,1434,60,175,147,342,590,182,105,109,124,124,32,7,683,1403,310,1377,581,49,224,24,28,0,0,0,0,0,189,0,126,184,472,39724
103,FF de badminton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,1262,398,503,297,323,1124,368,380,133,416,308,415,2596,1704,158,456,1144,818,399,1,65,1089,1384,348,661,1077,683,867,1198,1139,1032,2877,276,3636,1384,4512,658,1613,3234,460,707,1027,1281,263,4332,1928,406,489,145,2297,911,784,165,980,1149,245,1751,1338,194,3393,1145,821,2132,1583,385,127,729,2896,1695,3123,467,557,1289,677,1585,2696,2272,3479,3845,387,715,532,315,961,786,1354,639,1102,448,423,124,3771,3620,1619,2584,2306,289,217,181,662,0,0,0,1,8,0,315,42,87,1,120173
,Licences féminines,,668,246,308,157,225,648,226,233,88,241,179,224,1356,984,139,291,650,541,253,7,42,614,816,293,454,751,431,471,736,616,592,1622,134,2114,787,2560,504,851,1843,297,477,617,749,221,2314,1093,280,273,129,1211,539,389,113,734,668,186,979,863,117,1702,598,568,1052,1009,241,70,429,1713,955,1599,303,300,756,424,880,1363,1278,1789,1986,199,356,304,245,567,475,682,395,764,268,238,54,1845,1918,819,1462,1200,195,125,98,326,0,0,0,0,14,0,205,29,66,2,68010
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,1930,644,811,454,548,1772,594,613,221,657,487,639,3952,2688,297,747,1794,1359,652,8,107,1703,2200,641,1115,1828,1114,1338,1934,1755,1624,4499,410,5750,2171,7072,1162,2464,5077,757,1184,1644,2030,484,6646,3021,686,762,274,3508,1450,1173,278,1714,1817,431,2730,2201,311,5095,1743,1389,3184,2592,626,197,1158,4609,2650,4722,770,857,2045,1101,2465,4059,3550,5268,5831,586,1071,836,560,1528,1261,2036,1034,1866,716,661,178,5616,5538,2438,4046,3506,484,342,279,988,0,0,0,1,22,0,520,71,153,3,188183
105,FF de basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,3659,1956,1440,600,494,4929,1859,1028,866,880,682,1103,7614,4335,316,1490,2575,1266,799,263,480,2685,2403,604,1794,1161,2433,2785,2054,4097,2025,6546,1189,7367,3611,8936,959,4069,6246,950,4945,1694,7777,869,13802,4689,404,3233,123,9935,1590,2504,330,1812,3612,652,4232,2982,908,17367,3705,908,8836,4672,3845,1028,1704,9533,4545,12617,735,2909,4926,1913,2991,4911,6866,7146,7815,1393,1461,1614,1095,3666,2050,5761,2129,2900,1558,1378,488,7006,7353,5271,6561,5717,2139,1523,898,2121,0,1250,0,8,26,438,743,350,0,224,342734
,Licences féminines,,2215,618,787,251,224,1736,1330,493,550,369,223,1268,2920,2180,287,591,1156,860,975,132,263,1073,1645,475,1126,443,1567,1018,918,2935,999,3808,1368,3377,1527,5737,771,1905,4215,542,4059,685,5973,1064,10499,2429,393,2038,53,7580,900,866,110,1875,1237,301,2917,1187,521,8387,1423,498,4091,2828,3220,1267,901,5658,2332,6082,397,1820,2279,779,1510,1626,2802,2112,2446,1330,585,994,807,1429,1047,6330,872,1464,649,712,190,2359,1796,1736,2116,1809,755,542,394,895,0,458,0,3,8,188,457,201,0,158,182306
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,5874,2574,2227,851,718,6665,3189,1521,1416,1249,905,2371,10534,6515,603,2081,3731,2126,1774,395,743,3758,4048,1079,2920,1604,4000,3803,2972,7032,3024,10354,2557,10744,5138,14673,1730,5974,10461,1492,9004,2379,13750,1933,24301,7118,797,5271,176,17515,2490,3370,440,3687,4849,953,7149,4169,1429,25754,5128,1406,12927,7500,7065,2295,2605,15191,6877,18699,1132,4729,7205,2692,4501,6537,9668,9258,10261,2723,2046,2608,1902,5095,3097,12091,3001,4364,2207,2090,678,9365,9149,7007,8677,7526,2894,2065,1292,3016,0,1708,0,11,34,626,1200,551,0,382,525040
106,FF de boxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,300,502,290,164,30,1071,236,214,93,120,98,84,1202,528,1,40,306,156,277,135,122,242,448,17,280,449,334,252,311,184,473,1238,129,1636,826,342,164,302,725,223,418,332,467,174,929,510,61,262,24,520,329,413,283,276,512,84,512,1086,176,1856,974,223,1262,675,544,160,433,414,314,615,99,346,350,280,654,823,576,938,795,155,185,199,184,795,307,364,194,188,27,107,68,811,1040,875,861,714,114,215,157,437,0,0,0,8,4,16,142,0,8,17,42435
,Licences féminines,,181,247,215,84,16,314,126,71,22,25,25,13,357,162,0,14,163,75,245,17,17,87,351,2,130,171,90,95,139,67,230,462,53,676,281,140,57,137,221,181,205,159,249,86,531,205,37,91,11,224,169,148,119,131,255,40,201,587,85,590,483,91,385,309,283,57,156,120,87,197,42,176,143,109,322,167,213,383,316,114,124,131,92,421,92,158,77,60,9,38,18,343,308,280,339,235,95,87,45,177,0,0,0,6,0,6,50,0,6,7,17439
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,481,749,505,248,46,1385,362,285,115,145,123,97,1559,690,1,54,469,231,522,152,139,329,799,19,410,620,424,347,450,251,703,1700,182,2312,1107,482,221,439,946,404,623,491,716,260,1460,715,98,353,35,744,498,561,402,407,767,124,713,1673,261,2446,1457,314,1647,984,827,217,589,534,401,812,141,522,493,389,976,990,789,1321,1111,269,309,330,276,1216,399,522,271,248,36,145,86,1154,1348,1155,1200,949,209,302,202,614,0,0,0,14,4,22,192,0,14,24,59874
107,FF de canoë-kayak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,228,229,110,59,191,398,344,242,104,92,61,88,453,329,14,367,196,72,203,1,29,203,665,26,547,360,145,517,166,807,153,395,97,589,603,1107,38,308,200,75,153,68,140,32,834,230,23,154,10,470,442,293,58,174,315,101,867,349,213,383,131,139,586,129,503,211,72,548,270,341,79,152,191,203,275,202,403,383,317,122,278,113,68,538,173,245,231,160,271,242,13,220,433,224,474,120,265,98,317,422,0,29,0,0,91,0,207,0,46,10667,37322
,Licences féminines,,117,127,34,21,62,245,134,131,42,38,24,29,232,137,8,107,80,36,83,0,15,133,236,6,302,213,27,302,68,279,69,177,29,335,307,469,14,104,60,31,51,20,72,9,306,81,6,70,3,165,194,193,38,75,187,63,379,151,78,167,55,56,265,24,151,111,29,231,165,165,51,76,67,85,202,96,171,166,140,35,85,43,26,239,74,97,76,91,124,120,3,85,172,78,229,49,116,35,170,286,0,13,0,0,45,0,51,1,26,8411,20257
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,345,356,144,80,253,643,478,373,146,130,85,117,685,466,22,474,276,108,286,1,44,336,901,32,849,573,172,819,234,1086,222,572,126,924,910,1576,52,412,260,106,204,88,212,41,1140,311,29,224,13,635,636,486,96,249,502,164,1246,500,291,550,186,195,851,153,654,322,101,779,435,506,130,228,258,288,477,298,574,549,457,157,363,156,94,777,247,342,307,251,395,362,16,305,605,302,703,169,381,133,487,708,0,42,0,0,136,0,258,1,72,19078,57579
108,FF de cyclisme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,1263,615,560,442,394,1332,687,361,304,398,753,736,3057,1054,388,643,1159,673,279,196,243,1029,2642,400,599,1255,1477,1124,848,2308,1388,1242,236,1893,1623,2882,438,1496,1751,850,462,599,1571,531,3026,1509,255,411,263,1735,1603,513,267,1188,781,356,2616,972,432,1962,960,791,1297,1680,1124,592,436,986,1049,2050,630,776,1365,1161,1956,331,1558,1618,1512,687,630,695,307,2057,1254,2075,670,809,847,503,252,1043,636,586,543,984,1882,978,419,1270,0,44,0,92,0,3,341,19,0,250,103818
,Licences féminines,,167,80,56,45,50,125,87,50,42,56,107,84,306,116,36,74,127,94,25,24,31,133,326,42,77,150,162,116,94,286,150,104,19,192,195,251,61,165,197,142,70,71,194,51,237,197,17,44,27,130,162,60,35,112,84,37,304,108,49,246,138,91,191,197,102,73,40,144,119,155,80,97,122,173,278,31,189,144,135,51,72,93,29,243,187,177,55,120,115,46,23,99,69,90,71,99,419,335,178,196,0,10,0,10,0,0,68,0,0,17,12250
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,1430,695,616,487,444,1457,774,411,346,454,860,820,3363,1170,424,717,1286,767,304,220,274,1162,2968,442,676,1405,1639,1240,942,2594,1538,1346,255,2085,1818,3133,499,1661,1948,992,532,670,1765,582,3263,1706,272,455,290,1865,1765,573,302,1300,865,393,2920,1080,481,2208,1098,882,1488,1877,1226,665,476,1130,1168,2205,710,873,1487,1334,2234,362,1747,1762,1647,738,702,788,336,2300,1441,2252,725,929,962,549,275,1142,705,676,614,1083,2301,1313,597,1466,0,54,0,102,0,3,409,19,0,267,116068
109,FF d'équitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,1381,1039,598,316,158,996,580,458,278,460,549,546,2467,1390,280,816,1281,671,451,183,261,975,1105,247,698,861,856,1351,926,1369,1419,2030,392,2516,1453,1799,531,1304,1682,512,585,680,1211,300,2448,1262,407,665,136,1711,1448,863,334,557,1264,390,1362,1483,366,4109,1917,862,2131,917,959,361,563,1882,1045,1870,466,1004,1036,461,1197,2928,2146,2510,3423,808,1117,752,563,1224,786,1272,771,565,554,656,276,1760,2703,602,1246,1354,326,323,181,590,12,11,6,11,0,89,461,57,1032,54,106606
,Licences féminines,,7053,4727,2664,1678,1354,6415,3253,2000,1349,2368,2963,2472,12922,6021,1439,3369,6670,2691,2047,980,1226,4730,5098,894,3657,4744,4482,6235,4098,7048,6713,11809,1941,14044,8547,8843,2052,5832,10601,2415,3305,3254,5960,1719,12130,5818,1804,2887,681,6285,5069,5005,1587,2333,6559,2061,6851,8169,1714,19655,9274,2861,10452,5355,5687,1832,3426,9260,5806,10885,2307,4486,3991,3087,7790,9953,10528,12178,15957,3440,5431,3592,2528,7836,4494,4915,3815,2888,3000,2879,1358,9994,11813,3196,5923,7496,917,777,591,2245,89,52,43,63,0,346,1523,246,2605,156,521656
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,8434,5766,3262,1994,1512,7411,3833,2458,1627,2828,3512,3018,15389,7411,1719,4185,7951,3362,2498,1163,1487,5705,6203,1141,4355,5605,5338,7586,5024,8417,8132,13839,2333,16560,10000,10642,2583,7136,12283,2927,3890,3934,7171,2019,14578,7080,2211,3552,817,7996,6517,5868,1921,2890,7823,2451,8213,9652,2080,23764,11191,3723,12583,6272,6646,2193,3989,11142,6851,12755,2773,5490,5027,3548,8987,12881,12674,14688,19380,4248,6548,4344,3091,9060,5280,6187,4586,3453,3554,3535,1634,11754,14516,3798,7169,8850,1243,1100,772,2835,101,63,49,74,0,435,1984,303,3637,210,628262
110,FF d'escrime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,451,198,126,101,76,711,285,254,58,131,151,132,1191,376,44,137,275,236,158,51,33,369,360,43,341,232,383,398,173,224,315,714,54,1019,515,975,44,311,814,143,144,70,224,143,620,513,24,103,4,340,187,323,140,56,436,46,349,429,130,1348,574,80,452,331,253,134,169,560,380,1878,51,288,192,218,329,3062,699,890,1801,94,210,213,51,543,183,212,275,143,175,97,82,1211,2320,857,1528,794,188,146,106,296,0,1,0,0,0,9,131,56,124,0,40617
,Licences féminines,,170,71,56,41,16,308,130,82,17,48,72,58,444,151,12,31,112,106,74,28,15,146,195,15,160,87,162,136,77,84,117,364,36,473,231,371,30,115,290,44,63,21,106,56,223,228,15,78,3,142,69,117,67,29,212,22,127,210,54,489,254,39,171,143,92,34,73,242,175,667,16,108,93,69,118,1107,323,361,578,39,99,80,27,201,77,90,97,67,81,61,29,434,881,329,562,328,152,88,66,123,0,0,0,0,0,0,76,14,45,0,16215
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,621,269,182,142,92,1019,415,336,75,179,223,190,1635,527,56,168,387,342,232,79,48,515,555,58,501,319,545,534,250,308,432,1078,90,1492,746,1346,74,426,1104,187,207,91,330,199,843,741,39,181,7,482,256,440,207,85,648,68,476,639,184,1837,828,119,623,474,345,168,242,802,555,2545,67,396,285,287,447,4169,1022,1251,2379,133,309,293,78,744,260,302,372,210,256,158,111,1645,3201,1186,2090,1122,340,234,172,419,0,1,0,0,0,9,207,70,169,0,56832
111,FF de football,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,21419,18234,12350,3818,2031,22768,9678,10553,3803,8291,8200,10765,40836,20372,5401,12081,15493,10045,7682,3729,5397,13200,26889,4160,12313,20132,14813,17078,13082,36634,18738,36705,5274,39709,27272,43577,9343,16658,35035,8556,10154,11269,29061,9595,52044,18819,5451,7643,2701,34333,16207,14370,6728,17898,22975,5341,32157,40205,5582,86148,27606,8843,59522,18373,16498,5765,8929,45172,28069,44787,7699,17598,21241,9596,22238,19366,39733,37489,36473,16101,19374,11165,8228,20047,13694,29232,15980,11571,10373,9970,4336,33371,27594,34923,28124,32634,11041,9132,6272,22357,552,10408,353,180,0,1,6,471,2374,622,1946278
,Licences féminines,,1785,1213,1307,291,188,1618,935,955,394,695,886,1169,2874,1774,732,1093,1294,947,1019,173,237,1341,2367,680,1297,2078,1213,1469,1006,2820,1316,3233,599,3287,2219,3119,947,1624,3238,1026,814,1116,1975,1225,3987,1768,535,715,415,2245,1482,1032,766,1122,1682,471,1936,3708,474,6866,2269,832,5071,2005,1370,507,792,4255,2424,3724,903,1590,1766,855,2093,1442,2959,2807,2437,1189,1730,1041,895,1605,1456,1884,1820,1164,972,1020,378,2286,1811,2343,1888,2324,996,805,768,1823,118,1077,42,14,0,0,0,30,121,40,162533
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,23204,19447,13657,4109,2219,24386,10613,11508,4197,8986,9086,11934,43710,22146,6133,13174,16787,10992,8701,3902,5634,14541,29256,4840,13610,22210,16026,18547,14088,39454,20054,39938,5873,42996,29491,46696,10290,18282,38273,9582,10968,12385,31036,10820,56031,20587,5986,8358,3116,36578,17689,15402,7494,19020,24657,5812,34093,43913,6056,93014,29875,9675,64593,20378,17868,6272,9721,49427,30493,48511,8602,19188,23007,10451,24331,20808,42692,40296,38910,17290,21104,12206,9123,21652,15150,31116,17800,12735,11345,10990,4714,35657,29405,37266,30012,34958,12037,9937,7040,24180,670,11485,395,194,0,1,6,501,2495,662,2108811
112,FF des sports de glace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,15,3,0,0,16,39,7,40,0,31,4,0,30,22,0,6,0,2,39,1,0,40,20,0,0,39,16,36,6,35,26,48,0,36,25,50,9,22,68,10,1,23,12,0,42,54,1,1,0,42,2,90,1,0,10,0,7,44,0,63,25,0,2,50,10,0,18,27,51,109,17,9,5,83,132,74,90,38,32,11,6,7,2,8,11,4,45,49,23,5,79,68,137,68,138,106,0,0,1,0,24,0,0,0,0,0,0,1,0,767,3466
,Licences féminines,,20,10,5,3,217,140,23,91,0,210,33,0,204,235,1,16,10,16,210,1,0,209,182,0,6,205,96,247,3,260,306,322,0,175,302,201,66,374,313,9,8,116,124,2,565,168,12,0,2,216,4,357,0,0,50,0,22,408,0,546,154,0,11,466,86,0,78,247,262,444,63,5,5,420,552,455,609,369,193,197,118,52,0,25,75,55,244,275,230,15,299,493,900,411,735,1148,0,0,0,1,118,0,0,0,0,0,0,4,0,5690,22825
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,35,13,5,3,233,179,30,131,0,241,37,0,234,257,1,22,10,18,249,2,0,249,202,0,6,244,112,283,9,295,332,370,0,211,327,251,75,396,381,19,9,139,136,2,607,222,13,1,2,258,6,447,1,0,60,0,29,452,0,609,179,0,13,516,96,0,96,274,313,553,80,14,10,503,684,529,699,407,225,208,124,59,2,33,86,59,289,324,253,20,378,561,1037,479,873,1254,0,0,1,1,142,0,0,0,0,0,0,5,0,6457,26291
113,FF de gymnastique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
