Codes Fédé,Fédérations françaises agréées en 2018,Obs,0 à 4 ans,5 à 9 ans,10 à 14 ans,15 à 19 ans,20 à 24 ans,25 à 29 ans,30 à 34 ans,35 à 39 ans,40 à 44 ans,45 à 49 ans,50 à 54 ans,55 à 59 ans,60 à 64 ans,65 à 69 ans,70 à 74 ans,75 à 79 ans,80 ans et plus,Non renseigné,TOTAL
401,FF des clubs alpins et de montagne,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,63,2023,4002,3288,2159,4096,5042,4640,4216,4316,4157,4516,4676,4190,3093,1277,932,6,56692
,Licences féminines,,44,1718,3715,2135,1077,2673,3098,2429,2061,2228,2427,2902,2946,2531,1661,559,354,2,34560
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,107,3741,7717,5423,3236,6769,8140,7069,6277,6544,6584,7418,7622,6721,4754,1836,1286,8,91252
402,FF d'éducation physique et de gymnastique volontaire,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,1631,2634,549,217,215,405,464,639,961,1461,1905,2942,5304,7582,6659,3879,3072,64,40583
,Licences féminines,,3060,12314,6604,5388,4733,8817,14510,21422,26026,34774,39818,45410,58188,68087,50954,25582,18515,741,444943
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,4691,14948,7153,5605,4948,9222,14974,22061,26987,36235,41723,48352,63492,75669,57613,29461,21587,805,485526
403,FF pour l'entraînement physique dans le monde moderne,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,716,2556,1883,1666,546,642,717,1025,1133,1434,1480,1731,2370,2863,2265,1291,1081,0,25399
,Licences féminines,,1236,8412,6458,4096,2259,4035,6166,9011,9920,12474,13706,15820,19203,21957,16009,8101,6682,1,165546
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,1952,10968,8341,5762,2805,4677,6883,10036,11053,13908,15186,17551,21573,24820,18274,9392,7763,1,190945
404,FF de la retraite sportive,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,0,0,0,0,2,4,3,4,6,24,69,419,3741,7949,7452,3838,2858,7,26376
,Licences féminines,,0,0,0,0,1,3,8,17,34,105,415,1733,10427,19305,15581,7702,5250,31,60612
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,0,0,0,0,3,7,11,21,40,129,484,2152,14168,27254,23033,11540,8108,38,86988
405,FF du sport travailliste,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,100,1653,2133,1503,962,1505,1957,1949,1755,1490,871,688,437,285,174,76,55,2,17595
,Licences féminines,,72,1133,1316,873,298,413,551,499,494,409,333,276,166,149,111,41,30,0,7164
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,172,2786,3449,2376,1260,1918,2508,2448,2249,1899,1204,964,603,434,285,117,85,2,24759
406,F des clubs sportifs et artistiques de la défense,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,436,3545,4815,7054,9773,11814,10455,9374,9112,8695,6974,5706,4077,3059,2413,1170,934,40,99446
,Licences féminines,,410,3101,4040,4579,2920,3442,3782,4185,4046,4259,3864,3553,3018,2712,2205,1072,889,18,52095
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,846,6646,8855,11633,12693,15256,14237,13559,13158,12954,10838,9259,7095,5771,4618,2242,1823,58,151541
407,F nationale du sport en milieu rural,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,314,1855,2050,1051,672,744,897,1137,1308,1397,1347,1203,1372,1563,1107,520,356,28,18921
,Licences féminines,,323,2955,2713,1363,551,762,1212,1705,1985,2174,2228,2293,2744,2875,2002,807,554,53,29299
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
